id,eng,ita,difficulty
1,Parent / Child,Genitore / Figlio,10
2,Uncle / Nibling,Zio/Zia / Nipote,15
3,Lovers,Amanti,20
4,Cheating,Tradimento,40
5,Workplace Affair,Relazione sul posto di lavoro,35
6,Brothers,Fratelli,15
7,Sisters,Sorelle,15
8,Brother / Sister,Fratello / Sorella,15
9,Husband / Wife,Marito / Moglie,20
10,Husband / Husband,Marito / Marito,25
11,Wife / Wife,Moglie / Moglie,25
12,Student / Teacher,Studente / Insegnante,25
13,Hot for teacher,Infatuato/a dell'insegnante,40
14,Scientist / Assistant,Scienziato / Assistente,25
15,Employer / Employee,Datore di lavoro / Dipendente,20
16,Grandfather / Grandchild,Nonno / Nipote,15
17,Long lost siblings,Fratelli perduti da tempo,45
18,Long lost children,Figli perduti da tempo,45
19,Mortal Enemies,Nemici Mortali,50
20,Friendly Rivals,Rivali Amichevoli,30
21,Romantic Rivals,Rivali Romantici,40
22,Sexual Tension,Tensione Sessuale,40
23,Repulsion,Repulsione,35
24,Attraction,Attrazione,30
25,Admiration,Ammirazione,25
26,Jealousy,Gelosia,35
27,Pining,Nostalgia/Desiderio Ardente,30
28,Unrequited Love,Amore Non Corrisposto,40
29,Forbidden Love,Amore Proibito,50
30,Secret Love,Amore Segreto,45
31,Ex lovers,Ex amanti,30
32,Just broke up,Appena lasciati,35
33,Prisoner / Captor,Prigioniero / Carceriere,55
34,Life Debt,Debito di Vita,50
35,Owed money,Debito di denaro,30
36,Trust,Fiducia,15
37,Mistrust,Diffidenza,30
38,Sick of each other,Stufi l'uno dell'altro,35
39,Honeymoon phase,Fase di luna di miele,20
40,New friends,Nuovi amici,15
41,Teammates,Compagni di squadra,20
42,Trainer / Athlete,Allenatore / Atleta,25
43,Coach / Athlete,Coach / Atleta,25
44,Doctor / Patient,Dottore / Paziente,20
45,Doctor / Nurse,Dottore / Infermiere,25
46,Witch / Wizard,Strega / Mago,40
47,Pet / Owner,Animale domestico / Padrone,10
48,Mentor,Mentore,30
49,Fanboy,Fanboy,25
50,Fangirl,Fangirl,25
51,Bodyguard,Guardia del corpo,30
52,Butler,Maggiordomo,25
53,Maid,Cameriera,20
54,Rapper / Producer,Rapper / Produttore,30
55,Singer / Producer,Cantante / Produttore,30
56,Stole money,Hanno rubato denaro,40
57,Usurped something,Hanno usurpato qualcosa,45
58,King / Queen,Re / Regina,40
59,King / Princess,Re / Principessa,45
60,King / Prince,Re / Principe,45
61,Prince / Princess,Principe / Principessa,35
62,Royalty / Subjects,Reale / Sudditi,35
63,Lord / Peasant,Signore / Contadino,40
64,Kid / Babysitter,Bambino / Babysitter,20
65,Teenager / Authority Figure,Adolescente / Figura Autoritaria,30
66,Prinicpal / Teacher,Preside / Insegnante,25
